candidate,office,district,party,county,precinct,total votes,votes
,Registered Voters,,NonPartisan,Columbia,31 City of Scappoose One,,315
,Registered Voters,,DEM,Columbia,31 City of Scappoose One,,278
,Registered Voters,,IND,Columbia,31 City of Scappoose One,,36
,Registered Voters,,REP,Columbia,31 City of Scappoose One,,241
,Ballots Cast,,,Columbia,31 City of Scappoose One,,274
,Ballots Cast,,NonPartisan,Columbia,31 City of Scappoose One,,44
,Ballots Cast,,DEM,Columbia,31 City of Scappoose One,,112
,Ballots Cast,,IND,Columbia,31 City of Scappoose One,,7
,Ballots Cast,,REP,Columbia,31 City of Scappoose One,,111
,Ballots Cast,,Blank,Columbia,31 City of Scappoose One,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,31 City of Scappoose One,,6
Suzanne Bonamici,U.S. House,1,DEM,Columbia,31 City of Scappoose One,,90
Michael E Stansfield,U.S. House,1,DEM,Columbia,31 City of Scappoose One,,7
Write In,U.S. House,1,DEM,Columbia,31 City of Scappoose One,,2
Over votes,U.S. House,1,DEM,Columbia,31 City of Scappoose One,,0
Under votes,U.S. House,1,DEM,Columbia,31 City of Scappoose One,,7
Ed Jones,Governor,,DEM,Columbia,31 City of Scappoose One,,10
Kate Brown,Governor,,DEM,Columbia,31 City of Scappoose One,,75
Candace Neville,Governor,,DEM,Columbia,31 City of Scappoose One,,15
Write-Ins,Governor,,DEM,Columbia,31 City of Scappoose One,,4
Over votes,Governor,,DEM,Columbia,31 City of Scappoose One,,1
Under votes,Governor,,DEM,Columbia,31 City of Scappoose One,,7
Betsy Johnson,State Senate,16,DEM,Columbia,31 City of Scappoose One,,94
Write In,State Senate,16,DEM,Columbia,31 City of Scappoose One,,2
Over votes,State Senate,16,DEM,Columbia,31 City of Scappoose One,,0
Under votes,State Senate,16,DEM,Columbia,31 City of Scappoose One,,16
Brad Witt,State House,31,DEM,Columbia,31 City of Scappoose One,,90
Write In,State House,31,DEM,Columbia,31 City of Scappoose One,,1
Over votes,State House,31,DEM,Columbia,31 City of Scappoose One,,0
Under votes,State House,31,DEM,Columbia,31 City of Scappoose One,,21
Write In,U.S. House,1,IND,Columbia,31 City of Scappoose One,,5
Over votes,U.S. House,1,IND,Columbia,31 City of Scappoose One,,0
Under votes,U.S. House,1,IND,Columbia,31 City of Scappoose One,,2
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,31 City of Scappoose One,,0
Skye J Allen,Governor,,IND,Columbia,31 City of Scappoose One,,0
Patrick Starnes,Governor,,IND,Columbia,31 City of Scappoose One,,3
Write In,Governor,,IND,Columbia,31 City of Scappoose One,,4
Over votes,Governor,,IND,Columbia,31 City of Scappoose One,,0
Under votes,Governor,,IND,Columbia,31 City of Scappoose One,,0
Write In,State Senate,16,IND,Columbia,31 City of Scappoose One,,5
Over votes,State Senate,16,IND,Columbia,31 City of Scappoose One,,0
Under votes,State Senate,16,IND,Columbia,31 City of Scappoose One,,2
Write In,State House,31,IND,Columbia,31 City of Scappoose One,,5
Over votes,State House,31,IND,Columbia,31 City of Scappoose One,,0
Under votes,State House,31,IND,Columbia,31 City of Scappoose One,,2
John Verbeek,U.S. House,1,REP,Columbia,31 City of Scappoose One,,31
George Griffith,U.S. House,1,REP,Columbia,31 City of Scappoose One,,45
Preston L Miller,U.S. House,1,REP,Columbia,31 City of Scappoose One,,7
Write In,U.S. House,1,REP,Columbia,31 City of Scappoose One,,0
Over votes,U.S. House,1,REP,Columbia,31 City of Scappoose One,,0
Under votes,U.S. House,1,REP,Columbia,31 City of Scappoose One,,28
Knute Buehler,Governor,,REP,Columbia,31 City of Scappoose One,,45
Keenen W Bohach,Governor,,REP,Columbia,31 City of Scappoose One,,0
Greg C Wooldridge,Governor,,REP,Columbia,31 City of Scappoose One,,20
Jonathan I Edwards III,Governor,,REP,Columbia,31 City of Scappoose One,,0
David W Stauffer,Governor,,REP,Columbia,31 City of Scappoose One,,0
Jeff Smith,Governor,,REP,Columbia,31 City of Scappoose One,,4
Jack W Tacy ,Governor,,REP,Columbia,31 City of Scappoose One,,1
Brett Hyland,Governor,,REP,Columbia,31 City of Scappoose One,,0
Bruce Cuff,Governor,,REP,Columbia,31 City of Scappoose One,,2
Sam Carpenter,Governor,,REP,Columbia,31 City of Scappoose One,,39
Write In,Governor,,REP,Columbia,31 City of Scappoose One,,0
Over votes,Governor,,REP,Columbia,31 City of Scappoose One,,0
Under votes,Governor,,REP,Columbia,31 City of Scappoose One,,0
Write In,State Senate,16,REP,Columbia,31 City of Scappoose One,,17
Over votes,State Senate,16,REP,Columbia,31 City of Scappoose One,,0
Under votes,State Senate,16,REP,Columbia,31 City of Scappoose One,,94
Brian G Stout,State House,31,REP,Columbia,31 City of Scappoose One,,68
Write In,State House,31,REP,Columbia,31 City of Scappoose One,,2
Over votes,State House,31,REP,Columbia,31 City of Scappoose One,,0
Under votes,State House,31,REP,Columbia,31 City of Scappoose One,,41
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,31 City of Scappoose One,,91
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,31 City of Scappoose One,,105
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,31 City of Scappoose One,,33
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,31 City of Scappoose One,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,31 City of Scappoose One,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,31 City of Scappoose One,,45
,Registered Voters,,,Columbia,32 City of Scappoose Two,,2668
,Registered Voters,,NonPartisan,Columbia,32 City of Scappoose Two,,947
,Registered Voters,,DEM,Columbia,32 City of Scappoose Two,,974
,Registered Voters,,IND,Columbia,32 City of Scappoose Two,,112
,Registered Voters,,REP,Columbia,32 City of Scappoose Two,,635
,Ballots Cast,,,Columbia,32 City of Scappoose Two,,850
,Ballots Cast,,NonPartisan,Columbia,32 City of Scappoose Two,,137
,Ballots Cast,,DEM,Columbia,32 City of Scappoose Two,,421
,Ballots Cast,,IND,Columbia,32 City of Scappoose Two,,31
,Ballots Cast,,REP,Columbia,32 City of Scappoose Two,,261
,Ballots Cast,,Blank,Columbia,32 City of Scappoose Two,,1
Ricky Barajas ,U.S. House,1,DEM,Columbia,32 City of Scappoose Two,,22
Suzanne Bonamici,U.S. House,1,DEM,Columbia,32 City of Scappoose Two,,355
Michael E Stansfield,U.S. House,1,DEM,Columbia,32 City of Scappoose Two,,29
Write In,U.S. House,1,DEM,Columbia,32 City of Scappoose Two,,1
Over votes,U.S. House,1,DEM,Columbia,32 City of Scappoose Two,,0
Under votes,U.S. House,1,DEM,Columbia,32 City of Scappoose Two,,14
Ed Jones,Governor,,DEM,Columbia,32 City of Scappoose Two,,67
Kate Brown,Governor,,DEM,Columbia,32 City of Scappoose Two,,274
Candace Neville,Governor,,DEM,Columbia,32 City of Scappoose Two,,46
Write-Ins,Governor,,DEM,Columbia,32 City of Scappoose Two,,9
Over votes,Governor,,DEM,Columbia,32 City of Scappoose Two,,0
Under votes,Governor,,DEM,Columbia,32 City of Scappoose Two,,25
Betsy Johnson,State Senate,16,DEM,Columbia,32 City of Scappoose Two,,362
Write In,State Senate,16,DEM,Columbia,32 City of Scappoose Two,,9
Over votes,State Senate,16,DEM,Columbia,32 City of Scappoose Two,,0
Under votes,State Senate,16,DEM,Columbia,32 City of Scappoose Two,,50
Brad Witt,State House,31,DEM,Columbia,32 City of Scappoose Two,,367
Write In,State House,31,DEM,Columbia,32 City of Scappoose Two,,2
Over votes,State House,31,DEM,Columbia,32 City of Scappoose Two,,0
Under votes,State House,31,DEM,Columbia,32 City of Scappoose Two,,52
Write In,U.S. House,1,IND,Columbia,32 City of Scappoose Two,,8
Over votes,U.S. House,1,IND,Columbia,32 City of Scappoose Two,,0
Under votes,U.S. House,1,IND,Columbia,32 City of Scappoose Two,,23
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,32 City of Scappoose Two,,4
Skye J Allen,Governor,,IND,Columbia,32 City of Scappoose Two,,1
Patrick Starnes,Governor,,IND,Columbia,32 City of Scappoose Two,,5
Write In,Governor,,IND,Columbia,32 City of Scappoose Two,,16
Over votes,Governor,,IND,Columbia,32 City of Scappoose Two,,0
Under votes,Governor,,IND,Columbia,32 City of Scappoose Two,,5
Write In,State Senate,16,IND,Columbia,32 City of Scappoose Two,,8
Over votes,State Senate,16,IND,Columbia,32 City of Scappoose Two,,0
Under votes,State Senate,16,IND,Columbia,32 City of Scappoose Two,,23
Write In,State House,31,IND,Columbia,32 City of Scappoose Two,,9
Over votes,State House,31,IND,Columbia,32 City of Scappoose Two,,0
Under votes,State House,31,IND,Columbia,32 City of Scappoose Two,,22
John Verbeek,U.S. House,1,REP,Columbia,32 City of Scappoose Two,,95
George Griffith,U.S. House,1,REP,Columbia,32 City of Scappoose Two,,84
Preston L Miller,U.S. House,1,REP,Columbia,32 City of Scappoose Two,,28
Write In,U.S. House,1,REP,Columbia,32 City of Scappoose Two,,1
Over votes,U.S. House,1,REP,Columbia,32 City of Scappoose Two,,0
Under votes,U.S. House,1,REP,Columbia,32 City of Scappoose Two,,53
Knute Buehler,Governor,,REP,Columbia,32 City of Scappoose Two,,108
Keenen W Bohach,Governor,,REP,Columbia,32 City of Scappoose Two,,1
Greg C Wooldridge,Governor,,REP,Columbia,32 City of Scappoose Two,,32
Jonathan I Edwards III,Governor,,REP,Columbia,32 City of Scappoose Two,,1
David W Stauffer,Governor,,REP,Columbia,32 City of Scappoose Two,,4
Jeff Smith,Governor,,REP,Columbia,32 City of Scappoose Two,,8
Jack W Tacy ,Governor,,REP,Columbia,32 City of Scappoose Two,,0
Brett Hyland,Governor,,REP,Columbia,32 City of Scappoose Two,,2
Bruce Cuff,Governor,,REP,Columbia,32 City of Scappoose Two,,1
Sam Carpenter,Governor,,REP,Columbia,32 City of Scappoose Two,,90
Write In,Governor,,REP,Columbia,32 City of Scappoose Two,,2
Over votes,Governor,,REP,Columbia,32 City of Scappoose Two,,1
Under votes,Governor,,REP,Columbia,32 City of Scappoose Two,,11
Write In,State Senate,16,REP,Columbia,32 City of Scappoose Two,,42
Over votes,State Senate,16,REP,Columbia,32 City of Scappoose Two,,0
Under votes,State Senate,16,REP,Columbia,32 City of Scappoose Two,,219
Brian G Stout,State House,31,REP,Columbia,32 City of Scappoose Two,,179
Write In,State House,31,REP,Columbia,32 City of Scappoose Two,,6
Over votes,State House,31,REP,Columbia,32 City of Scappoose Two,,0
Under votes,State House,31,REP,Columbia,32 City of Scappoose Two,,76
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,32 City of Scappoose Two,,246
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,32 City of Scappoose Two,,322
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,32 City of Scappoose Two,,125
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,32 City of Scappoose Two,,2
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,32 City of Scappoose Two,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,32 City of Scappoose Two,,155
,Registered Voters,,,Columbia,34 City of Scappoose Four,,1473
,Registered Voters,,NonPartisan,Columbia,34 City of Scappoose Four,,502
,Registered Voters,,DEM,Columbia,34 City of Scappoose Four,,513
,Registered Voters,,IND,Columbia,34 City of Scappoose Four,,66
,Registered Voters,,REP,Columbia,34 City of Scappoose Four,,392
,Ballots Cast,,,Columbia,34 City of Scappoose Four,,391
,Ballots Cast,,NonPartisan,Columbia,34 City of Scappoose Four,,51
,Ballots Cast,,DEM,Columbia,34 City of Scappoose Four,,182
,Ballots Cast,,IND,Columbia,34 City of Scappoose Four,,21
,Ballots Cast,,REP,Columbia,34 City of Scappoose Four,,137
,Ballots Cast,,Blank,Columbia,34 City of Scappoose Four,,1
Ricky Barajas ,U.S. House,1,DEM,Columbia,34 City of Scappoose Four,,6
Suzanne Bonamici,U.S. House,1,DEM,Columbia,34 City of Scappoose Four,,155
Michael E Stansfield,U.S. House,1,DEM,Columbia,34 City of Scappoose Four,,8
Write In,U.S. House,1,DEM,Columbia,34 City of Scappoose Four,,3
Over votes,U.S. House,1,DEM,Columbia,34 City of Scappoose Four,,0
Under votes,U.S. House,1,DEM,Columbia,34 City of Scappoose Four,,10
Ed Jones,Governor,,DEM,Columbia,34 City of Scappoose Four,,27
Kate Brown,Governor,,DEM,Columbia,34 City of Scappoose Four,,122
Candace Neville,Governor,,DEM,Columbia,34 City of Scappoose Four,,25
Write-Ins,Governor,,DEM,Columbia,34 City of Scappoose Four,,4
Over votes,Governor,,DEM,Columbia,34 City of Scappoose Four,,0
Under votes,Governor,,DEM,Columbia,34 City of Scappoose Four,,4
Betsy Johnson,State Senate,16,DEM,Columbia,34 City of Scappoose Four,,156
Write In,State Senate,16,DEM,Columbia,34 City of Scappoose Four,,1
Over votes,State Senate,16,DEM,Columbia,34 City of Scappoose Four,,1
Under votes,State Senate,16,DEM,Columbia,34 City of Scappoose Four,,24
Brad Witt,State House,31,DEM,Columbia,34 City of Scappoose Four,,157
Write In,State House,31,DEM,Columbia,34 City of Scappoose Four,,0
Over votes,State House,31,DEM,Columbia,34 City of Scappoose Four,,0
Under votes,State House,31,DEM,Columbia,34 City of Scappoose Four,,25
Write In,U.S. House,1,IND,Columbia,34 City of Scappoose Four,,3
Over votes,U.S. House,1,IND,Columbia,34 City of Scappoose Four,,0
Under votes,U.S. House,1,IND,Columbia,34 City of Scappoose Four,,18
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,34 City of Scappoose Four,,1
Skye J Allen,Governor,,IND,Columbia,34 City of Scappoose Four,,1
Patrick Starnes,Governor,,IND,Columbia,34 City of Scappoose Four,,1
Write In,Governor,,IND,Columbia,34 City of Scappoose Four,,8
Over votes,Governor,,IND,Columbia,34 City of Scappoose Four,,0
Under votes,Governor,,IND,Columbia,34 City of Scappoose Four,,10
Write In,State Senate,16,IND,Columbia,34 City of Scappoose Four,,6
Over votes,State Senate,16,IND,Columbia,34 City of Scappoose Four,,0
Under votes,State Senate,16,IND,Columbia,34 City of Scappoose Four,,15
Write In,State House,31,IND,Columbia,34 City of Scappoose Four,,7
Over votes,State House,31,IND,Columbia,34 City of Scappoose Four,,0
Under votes,State House,31,IND,Columbia,34 City of Scappoose Four,,14
John Verbeek,U.S. House,1,REP,Columbia,34 City of Scappoose Four,,50
George Griffith,U.S. House,1,REP,Columbia,34 City of Scappoose Four,,39
Preston L Miller,U.S. House,1,REP,Columbia,34 City of Scappoose Four,,11
Write In,U.S. House,1,REP,Columbia,34 City of Scappoose Four,,3
Over votes,U.S. House,1,REP,Columbia,34 City of Scappoose Four,,0
Under votes,U.S. House,1,REP,Columbia,34 City of Scappoose Four,,34
Knute Buehler,Governor,,REP,Columbia,34 City of Scappoose Four,,60
Keenen W Bohach,Governor,,REP,Columbia,34 City of Scappoose Four,,0
Greg C Wooldridge,Governor,,REP,Columbia,34 City of Scappoose Four,,29
Jonathan I Edwards III,Governor,,REP,Columbia,34 City of Scappoose Four,,0
David W Stauffer,Governor,,REP,Columbia,34 City of Scappoose Four,,0
Jeff Smith,Governor,,REP,Columbia,34 City of Scappoose Four,,3
Jack W Tacy ,Governor,,REP,Columbia,34 City of Scappoose Four,,0
Brett Hyland,Governor,,REP,Columbia,34 City of Scappoose Four,,0
Bruce Cuff,Governor,,REP,Columbia,34 City of Scappoose Four,,2
Sam Carpenter,Governor,,REP,Columbia,34 City of Scappoose Four,,41
Write In,Governor,,REP,Columbia,34 City of Scappoose Four,,1
Over votes,Governor,,REP,Columbia,34 City of Scappoose Four,,0
Under votes,Governor,,REP,Columbia,34 City of Scappoose Four,,1
Write In,State Senate,16,REP,Columbia,34 City of Scappoose Four,,33
Over votes,State Senate,16,REP,Columbia,34 City of Scappoose Four,,0
Under votes,State Senate,16,REP,Columbia,34 City of Scappoose Four,,104
Brian G Stout,State House,31,REP,Columbia,34 City of Scappoose Four,,89
Write In,State House,31,REP,Columbia,34 City of Scappoose Four,,4
Over votes,State House,31,REP,Columbia,34 City of Scappoose Four,,0
Under votes,State House,31,REP,Columbia,34 City of Scappoose Four,,44
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,34 City of Scappoose Four,,140
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,34 City of Scappoose Four,,136
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,34 City of Scappoose Four,,43
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,34 City of Scappoose Four,,1
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,34 City of Scappoose Four,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,34 City of Scappoose Four,,71
,Registered Voters,,,Columbia,35 SE Scappoose,,1405
,Registered Voters,,NonPartisan,Columbia,35 SE Scappoose,,462
,Registered Voters,,DEM,Columbia,35 SE Scappoose,,514
,Registered Voters,,IND,Columbia,35 SE Scappoose,,74
,Registered Voters,,REP,Columbia,35 SE Scappoose,,355
,Ballots Cast,,,Columbia,35 SE Scappoose,,485
,Ballots Cast,,NonPartisan,Columbia,35 SE Scappoose,,68
,Ballots Cast,,DEM,Columbia,35 SE Scappoose,,231
,Ballots Cast,,IND,Columbia,35 SE Scappoose,,25
,Ballots Cast,,REP,Columbia,35 SE Scappoose,,161
,Ballots Cast,,Blank,Columbia,35 SE Scappoose,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,35 SE Scappoose,,19
Suzanne Bonamici,U.S. House,1,DEM,Columbia,35 SE Scappoose,,179
Michael E Stansfield,U.S. House,1,DEM,Columbia,35 SE Scappoose,,18
Write In,U.S. House,1,DEM,Columbia,35 SE Scappoose,,3
Over votes,U.S. House,1,DEM,Columbia,35 SE Scappoose,,0
Under votes,U.S. House,1,DEM,Columbia,35 SE Scappoose,,12
Ed Jones,Governor,,DEM,Columbia,35 SE Scappoose,,36
Kate Brown,Governor,,DEM,Columbia,35 SE Scappoose,,162
Candace Neville,Governor,,DEM,Columbia,35 SE Scappoose,,13
Write-Ins,Governor,,DEM,Columbia,35 SE Scappoose,,12
Over votes,Governor,,DEM,Columbia,35 SE Scappoose,,0
Under votes,Governor,,DEM,Columbia,35 SE Scappoose,,8
Betsy Johnson,State Senate,16,DEM,Columbia,35 SE Scappoose,,168
Write In,State Senate,16,DEM,Columbia,35 SE Scappoose,,10
Over votes,State Senate,16,DEM,Columbia,35 SE Scappoose,,0
Under votes,State Senate,16,DEM,Columbia,35 SE Scappoose,,53
Brad Witt,State House,31,DEM,Columbia,35 SE Scappoose,,172
Write In,State House,31,DEM,Columbia,35 SE Scappoose,,8
Over votes,State House,31,DEM,Columbia,35 SE Scappoose,,0
Under votes,State House,31,DEM,Columbia,35 SE Scappoose,,51
Write In,U.S. House,1,IND,Columbia,35 SE Scappoose,,6
Over votes,U.S. House,1,IND,Columbia,35 SE Scappoose,,0
Under votes,U.S. House,1,IND,Columbia,35 SE Scappoose,,19
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,35 SE Scappoose,,1
Skye J Allen,Governor,,IND,Columbia,35 SE Scappoose,,2
Patrick Starnes,Governor,,IND,Columbia,35 SE Scappoose,,5
Write In,Governor,,IND,Columbia,35 SE Scappoose,,8
Over votes,Governor,,IND,Columbia,35 SE Scappoose,,0
Under votes,Governor,,IND,Columbia,35 SE Scappoose,,9
Write In,State Senate,16,IND,Columbia,35 SE Scappoose,,10
Over votes,State Senate,16,IND,Columbia,35 SE Scappoose,,0
Under votes,State Senate,16,IND,Columbia,35 SE Scappoose,,15
Write In,State House,31,IND,Columbia,35 SE Scappoose,,7
Over votes,State House,31,IND,Columbia,35 SE Scappoose,,0
Under votes,State House,31,IND,Columbia,35 SE Scappoose,,18
John Verbeek,U.S. House,1,REP,Columbia,35 SE Scappoose,,52
George Griffith,U.S. House,1,REP,Columbia,35 SE Scappoose,,48
Preston L Miller,U.S. House,1,REP,Columbia,35 SE Scappoose,,12
Write In,U.S. House,1,REP,Columbia,35 SE Scappoose,,1
Over votes,U.S. House,1,REP,Columbia,35 SE Scappoose,,0
Under votes,U.S. House,1,REP,Columbia,35 SE Scappoose,,48
Knute Buehler,Governor,,REP,Columbia,35 SE Scappoose,,66
Keenen W Bohach,Governor,,REP,Columbia,35 SE Scappoose,,0
Greg C Wooldridge,Governor,,REP,Columbia,35 SE Scappoose,,26
Jonathan I Edwards III,Governor,,REP,Columbia,35 SE Scappoose,,1
David W Stauffer,Governor,,REP,Columbia,35 SE Scappoose,,0
Jeff Smith,Governor,,REP,Columbia,35 SE Scappoose,,4
Jack W Tacy ,Governor,,REP,Columbia,35 SE Scappoose,,1
Brett Hyland,Governor,,REP,Columbia,35 SE Scappoose,,0
Bruce Cuff,Governor,,REP,Columbia,35 SE Scappoose,,2
Sam Carpenter,Governor,,REP,Columbia,35 SE Scappoose,,60
Write In,Governor,,REP,Columbia,35 SE Scappoose,,0
Over votes,Governor,,REP,Columbia,35 SE Scappoose,,0
Under votes,Governor,,REP,Columbia,35 SE Scappoose,,1
Write In,State Senate,16,REP,Columbia,35 SE Scappoose,,29
Over votes,State Senate,16,REP,Columbia,35 SE Scappoose,,0
Under votes,State Senate,16,REP,Columbia,35 SE Scappoose,,132
Brian G Stout,State House,31,REP,Columbia,35 SE Scappoose,,106
Write In,State House,31,REP,Columbia,35 SE Scappoose,,2
Over votes,State House,31,REP,Columbia,35 SE Scappoose,,0
Under votes,State House,31,REP,Columbia,35 SE Scappoose,,53
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,35 SE Scappoose,,157
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,35 SE Scappoose,,177
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,35 SE Scappoose,,61
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,35 SE Scappoose,,1
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,35 SE Scappoose,,1
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,35 SE Scappoose,,88
,Registered Voters,,,Columbia,36 Canyon,,498
,Registered Voters,,NonPartisan,Columbia,36 Canyon,,143
,Registered Voters,,DEM,Columbia,36 Canyon,,197
,Registered Voters,,IND,Columbia,36 Canyon,,14
,Registered Voters,,REP,Columbia,36 Canyon,,144
,Ballots Cast,,,Columbia,36 Canyon,,196
,Ballots Cast,,NonPartisan,Columbia,36 Canyon,,20
,Ballots Cast,,DEM,Columbia,36 Canyon,,99
,Ballots Cast,,IND,Columbia,36 Canyon,,3
,Ballots Cast,,REP,Columbia,36 Canyon,,74
,Ballots Cast,,Blank,Columbia,36 Canyon,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,36 Canyon,,2
Suzanne Bonamici,U.S. House,1,DEM,Columbia,36 Canyon,,86
Michael E Stansfield,U.S. House,1,DEM,Columbia,36 Canyon,,7
Write In,U.S. House,1,DEM,Columbia,36 Canyon,,0
Over votes,U.S. House,1,DEM,Columbia,36 Canyon,,0
Under votes,U.S. House,1,DEM,Columbia,36 Canyon,,4
Ed Jones,Governor,,DEM,Columbia,36 Canyon,,19
Kate Brown,Governor,,DEM,Columbia,36 Canyon,,68
Candace Neville,Governor,,DEM,Columbia,36 Canyon,,9
Write-Ins,Governor,,DEM,Columbia,36 Canyon,,2
Over votes,Governor,,DEM,Columbia,36 Canyon,,0
Under votes,Governor,,DEM,Columbia,36 Canyon,,1
Betsy Johnson,State Senate,16,DEM,Columbia,36 Canyon,,72
Write In,State Senate,16,DEM,Columbia,36 Canyon,,7
Over votes,State Senate,16,DEM,Columbia,36 Canyon,,0
Under votes,State Senate,16,DEM,Columbia,36 Canyon,,20
Brad Witt,State House,31,DEM,Columbia,36 Canyon,,80
Write In,State House,31,DEM,Columbia,36 Canyon,,1
Over votes,State House,31,DEM,Columbia,36 Canyon,,0
Under votes,State House,31,DEM,Columbia,36 Canyon,,18
Write In,U.S. House,1,IND,Columbia,36 Canyon,,0
Over votes,U.S. House,1,IND,Columbia,36 Canyon,,0
Under votes,U.S. House,1,IND,Columbia,36 Canyon,,3
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,36 Canyon,,0
Skye J Allen,Governor,,IND,Columbia,36 Canyon,,0
Patrick Starnes,Governor,,IND,Columbia,36 Canyon,,2
Write In,Governor,,IND,Columbia,36 Canyon,,1
Over votes,Governor,,IND,Columbia,36 Canyon,,0
Under votes,Governor,,IND,Columbia,36 Canyon,,0
Write In,State Senate,16,IND,Columbia,36 Canyon,,0
Over votes,State Senate,16,IND,Columbia,36 Canyon,,0
Under votes,State Senate,16,IND,Columbia,36 Canyon,,3
Write In,State House,31,IND,Columbia,36 Canyon,,0
Over votes,State House,31,IND,Columbia,36 Canyon,,0
Under votes,State House,31,IND,Columbia,36 Canyon,,3
John Verbeek,U.S. House,1,REP,Columbia,36 Canyon,,34
George Griffith,U.S. House,1,REP,Columbia,36 Canyon,,19
Preston L Miller,U.S. House,1,REP,Columbia,36 Canyon,,3
Write In,U.S. House,1,REP,Columbia,36 Canyon,,0
Over votes,U.S. House,1,REP,Columbia,36 Canyon,,0
Under votes,U.S. House,1,REP,Columbia,36 Canyon,,18
Knute Buehler,Governor,,REP,Columbia,36 Canyon,,31
Keenen W Bohach,Governor,,REP,Columbia,36 Canyon,,0
Greg C Wooldridge,Governor,,REP,Columbia,36 Canyon,,17
Jonathan I Edwards III,Governor,,REP,Columbia,36 Canyon,,0
David W Stauffer,Governor,,REP,Columbia,36 Canyon,,0
Jeff Smith,Governor,,REP,Columbia,36 Canyon,,1
Jack W Tacy ,Governor,,REP,Columbia,36 Canyon,,0
Brett Hyland,Governor,,REP,Columbia,36 Canyon,,0
Bruce Cuff,Governor,,REP,Columbia,36 Canyon,,3
Sam Carpenter,Governor,,REP,Columbia,36 Canyon,,22
Write In,Governor,,REP,Columbia,36 Canyon,,0
Over votes,Governor,,REP,Columbia,36 Canyon,,0
Under votes,Governor,,REP,Columbia,36 Canyon,,0
Write In,State Senate,16,REP,Columbia,36 Canyon,,9
Over votes,State Senate,16,REP,Columbia,36 Canyon,,0
Under votes,State Senate,16,REP,Columbia,36 Canyon,,65
Brian G Stout,State House,31,REP,Columbia,36 Canyon,,42
Write In,State House,31,REP,Columbia,36 Canyon,,0
Over votes,State House,31,REP,Columbia,36 Canyon,,0
Under votes,State House,31,REP,Columbia,36 Canyon,,32
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,36 Canyon,,63
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,36 Canyon,,80
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,36 Canyon,,21
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,36 Canyon,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,36 Canyon,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,36 Canyon,,32
,Registered Voters,,,Columbia,38 W Scappoose,,594
,Registered Voters,,NonPartisan,Columbia,38 W Scappoose,,187
,Registered Voters,,DEM,Columbia,38 W Scappoose,,214
,Registered Voters,,IND,Columbia,38 W Scappoose,,13
,Registered Voters,,REP,Columbia,38 W Scappoose,,180
,Ballots Cast,,,Columbia,38 W Scappoose,,206
,Ballots Cast,,NonPartisan,Columbia,38 W Scappoose,,20
