candidate,votes,pct,office,precinct,district,party
Aaron Auer,5,1.34%,Governor,363,,
John  Kitzhaber,130,34.95%,Governor,363,,
Paul Grad,5,1.34%,Governor,363,,
Jason  Levin,8,2.15%,Governor,363,,
Write-in,2,0.54%,Governor,363,,
Cast Votes: ,372,95.63%,Governor,363,,
Over Votes: ,0,0.00%,Governor,363,,
Under Votes: ,17,4.37%,Governor,363,,
Scott A Mills,155,43.79%,State House,363,18,
Vic Gilliam,199,56.21%,State House,363,18,
Write-in,0,0.00%,State House,363,18,
Cast Votes: ,354,91.00%,State House,363,18,
Over Votes: ,0,0.00%,State House,363,18,
Under Votes: ,35,9.00%,State House,363,18,
Mike Montchalin,15,2.80%,U.S. Senate,364,,
Jeff Merkley,251,46.92%,U.S. Senate,364,,
Christina Jean Lugo,12,2.24%,U.S. Senate,364,,
James E Leuenberger,13,2.43%,U.S. Senate,364,,
Monica Wehby,242,45.23%,U.S. Senate,364,,
Write-in,2,0.37%,U.S. Senate,364,,
Cast Votes: ,535,96.22%,U.S. Senate,364,,
Over Votes: ,0,0.00%,U.S. Senate,364,,
Under Votes: ,21,3.78%,U.S. Senate,364,,
Michael Meo,17,3.37%,U.S. House,364,3,
James Buchal,214,42.46%,U.S. House,364,3,
Earl Blumenauer,255,50.60%,U.S. House,364,3,
Jeffrey J Langan,10,1.98%,U.S. House,364,3,
David Walker,8,1.59%,U.S. House,364,3,
Write-in,0,0.00%,U.S. House,364,3,
Cast Votes: ,504,90.65%,U.S. House,364,3,
Over Votes: ,0,0.00%,U.S. House,364,3,
Under Votes: ,52,9.35%,U.S. House,364,3,
Dennis Richardson,291,54.91%,Governor,364,,
Chris Henry,2,0.38%,Governor,364,,
Aaron Auer,7,1.32%,Governor,364,,
John  Kitzhaber,214,40.38%,Governor,364,,
Paul Grad,6,1.13%,Governor,364,,
Jason  Levin,9,1.70%,Governor,364,,
Write-in,1,0.19%,Governor,364,,
Cast Votes: ,530,95.32%,Governor,364,,
Over Votes: ,0,0.00%,Governor,364,,
Under Votes: ,26,4.68%,Governor,364,,
Chuck Thomsen,278,56.62%,State Senate,364,26,
Robert R Bruce,212,43.18%,State Senate,364,26,
Write-in,1,0.20%,State Senate,364,26,
Cast Votes: ,491,88.31%,State Senate,364,26,
Over Votes: ,0,0.00%,State Senate,364,26,
Under Votes: ,65,11.69%,State Senate,364,26,
Stephanie Nystrom,212,43.18%,State House,364,52,
Mark Johnson,277,56.42%,State House,364,52,
Write-in,2,0.41%,State House,364,52,
Cast Votes:,491,88.31%,State House,364,52,
Over Votes:,0,0.00%,State House,364,52,
Under Votes:,65,11.69%,State House,364,52,
Mike Montchalin,56,3.28%,U.S. Senate,370,,
Jeff Merkley,791,46.37%,U.S. Senate,370,,
Christina Jean Lugo,30,1.76%,U.S. Senate,370,,
James E Leuenberger,34,1.99%,U.S. Senate,370,,
Monica Wehby,786,46.07%,U.S. Senate,370,,
Write-in,9,0.53%,U.S. Senate,370,,
Cast Votes: ,1706,95.84%,U.S. Senate,370,,
Over Votes: ,1,0.06%,U.S. Senate,370,,
Under Votes: ,73,4.10%,U.S. Senate,370,,
Michael Meo,48,2.89%,U.S. House,370,3,
James Buchal,763,45.99%,U.S. House,370,3,
Earl Blumenauer,795,47.92%,U.S. House,370,3,
Jeffrey J Langan,28,1.69%,U.S. House,370,3,
David Walker,20,1.21%,U.S. House,370,3,
Write-in,5,0.30%,U.S. House,370,3,
Cast Votes: ,1659,93.20%,U.S. House,370,3,
Over Votes: ,0,0.00%,U.S. House,370,3,
Under Votes: ,121,6.80%,U.S. House,370,3,
Dennis Richardson,992,58.11%,Governor,370,,
Chris Henry,11,0.64%,Governor,370,,
Aaron Auer,16,0.94%,Governor,370,,
John  Kitzhaber,631,36.97%,Governor,370,,
Paul Grad,20,1.17%,Governor,370,,
Jason  Levin,31,1.82%,Governor,370,,
Write-in,6,0.35%,Governor,370,,
Cast Votes: ,1707,95.90%,Governor,370,,
Over Votes: ,0,0.00%,Governor,370,,
Under Votes: ,73,4.10%,Governor,370,,
Chuck Thomsen,970,59.55%,State Senate,370,26,
Robert R Bruce,653,40.09%,State Senate,370,26,
Write-in,6,0.37%,State Senate,370,26,
Cast Votes: ,1629,91.52%,State Senate,370,26,
Over Votes: ,0,0.00%,State Senate,370,26,
Under Votes: ,151,8.48%,State Senate,370,26,
Stephanie Nystrom,673,41.04%,State House,370,52,
Mark Johnson,962,58.66%,State House,370,52,
Write-in,5,0.30%,State House,370,52,
Cast Votes:,1640,92.13%,State House,370,52,
Over Votes:,0,0.00%,State House,370,52,
Under Votes: ,140,7.87%,State House,370,52,
Mike Montchalin,29,2.32%,U.S. Senate,371,,
Jeff Merkley,593,47.52%,U.S. Senate,371,,
Christina Jean Lugo,21,1.68%,U.S. Senate,371,,
James E Leuenberger,30,2.40%,U.S. Senate,371,,
Monica Wehby,563,45.11%,U.S. Senate,371,,
Write-in,12,0.96%,U.S. Senate,371,,
Cast Votes: ,1248,95.34%,U.S. Senate,371,,
Over Votes: ,1,0.08%,U.S. Senate,371,,
Under Votes: ,60,4.58%,U.S. Senate,371,,
Michael Meo,24,1.96%,U.S. House,371,3,
James Buchal,552,44.99%,U.S. House,371,3,
Earl Blumenauer,607,49.47%,U.S. House,371,3,
Jeffrey J Langan,11,0.90%,U.S. House,371,3,
David Walker,25,2.04%,U.S. House,371,3,
Write-in,8,0.65%,U.S. House,371,3,
Cast Votes: ,1227,93.74%,U.S. House,371,3,
Over Votes: ,0,0.00%,U.S. House,371,3,
Under Votes: ,82,6.26%,U.S. House,371,3,
Dennis Richardson,722,56.99%,Governor,371,,
Chris Henry,9,0.71%,Governor,371,,
Aaron Auer,14,1.10%,Governor,371,,
John  Kitzhaber,469,37.02%,Governor,371,,
Paul Grad,14,1.10%,Governor,371,,
Jason  Levin,27,2.13%,Governor,371,,
Write-in,12,0.95%,Governor,371,,
Cast Votes: ,1267,96.79%,Governor,371,,
Over Votes: ,0,0.00%,Governor,371,,
Under Votes: ,42,3.21%,Governor,371,,
Chuck Thomsen,710,58.87%,State Senate,371,26,
Robert R Bruce,487,40.38%,State Senate,371,26,
Write-in,9,0.75%,State Senate,371,26,
Cast Votes: ,1206,92.13%,State Senate,371,26,
Over Votes: ,0,0.00%,State Senate,371,26,
Under Votes: ,103,7.87%,State Senate,371,26,
Stephanie Nystrom,507,42.18%,State House,371,52,
Mark Johnson,689,57.32%,State House,371,52,
Write-in,6,0.50%,State House,371,52,
Cast Votes:,1202,91.83%,State House,371,52,
Over Votes:,0,0.00%,State House,371,52,
Under Votes: ,107,8.17%,State House,371,52,
Mike Montchalin,18,2.85%,U.S. Senate,372,,
Jeff Merkley,272,43.04%,U.S. Senate,372,,
Christina Jean Lugo,17,2.69%,U.S. Senate,372,,
James E Leuenberger,12,1.90%,U.S. Senate,372,,
Monica Wehby,312,49.37%,U.S. Senate,372,,
Write-in,1,0.16%,U.S. Senate,372,,
Cast Votes: ,632,96.05%,U.S. Senate,372,,
Over Votes: ,1,0.15%,U.S. Senate,372,,
Under Votes: ,25,3.80%,U.S. Senate,372,,
Michael Meo,12,1.94%,U.S. House,372,3,
James Buchal,301,48.71%,U.S. House,372,3,
Earl Blumenauer,273,44.17%,U.S. House,372,3,
Jeffrey J Langan,12,1.94%,U.S. House,372,3,
David Walker,18,2.91%,U.S. House,372,3,
Write-in,2,0.32%,U.S. House,372,3,
Cast Votes: ,618,93.92%,U.S. House,372,3,
Over Votes: ,0,0.00%,U.S. House,372,3,
Under Votes: ,40,6.08%,U.S. House,372,3,
Dennis Richardson,365,57.03%,Governor,372,,
Chris Henry,4,0.63%,Governor,372,,
Aaron Auer,7,1.09%,Governor,372,,
John  Kitzhaber,244,38.13%,Governor,372,,
Paul Grad,8,1.25%,Governor,372,,
Jason  Levin,12,1.88%,Governor,372,,
Write-in,0,0.00%,Governor,372,,
Cast Votes: ,640,97.26%,Governor,372,,
Over Votes: ,2,0.30%,Governor,372,,
Under Votes: ,16,2.43%,Governor,372,,
Chuck Thomsen,370,61.06%,State Senate,372,26,
Robert R Bruce,235,38.78%,State Senate,372,26,
Write-in,1,0.17%,State Senate,372,26,
Cast Votes: ,606,92.10%,State Senate,372,26,
Over Votes: ,0,0.00%,State Senate,372,26,
Under Votes: ,52,7.90%,State Senate,372,26,
Stephanie Nystrom,236,39.27%,State House,372,52,
Mark Johnson,364,60.57%,State House,372,52,
Write-in,1,0.17%,State House,372,52,
Cast Votes: ,601,91.34%,State House,372,52,
Over Votes:,0,0.00%,State House,372,52,
Under Votes: ,57,8.66%,State House,372,52,
Mike Montchalin,54,2.42%,U.S. Senate,373,,
Jeff Merkley,1240,55.56%,U.S. Senate,373,,
Christina Jean Lugo,68,3.05%,U.S. Senate,373,,
James E Leuenberger,29,1.30%,U.S. Senate,373,,
Monica Wehby,822,36.83%,U.S. Senate,373,,
Write-in,19,0.85%,U.S. Senate,373,,
Cast Votes: ,2232,95.88%,U.S. Senate,373,,
Over Votes: ,1,0.04%,U.S. Senate,373,,
Under Votes: ,95,4.08%,U.S. Senate,373,,
Michael Meo,68,3.14%,U.S. House,373,3,
James Buchal,733,33.86%,U.S. House,373,3,
Earl Blumenauer,1281,59.17%,U.S. House,373,3,
Jeffrey J Langan,41,1.89%,U.S. House,373,3,
David Walker,35,1.62%,U.S. House,373,3,
Write-in,7,0.32%,U.S. House,373,3,
Cast Votes: ,2165,93.00%,U.S. House,373,3,
Over Votes: ,0,0.00%,U.S. House,373,3,
Under Votes: ,163,7.00%,U.S. House,373,3,
Dennis Richardson,974,43.50%,Governor,373,,
Chris Henry,24,1.07%,Governor,373,,
Aaron Auer,16,0.71%,Governor,373,,
John  Kitzhaber,1120,50.02%,Governor,373,,
Paul Grad,27,1.21%,Governor,373,,
Jason  Levin,66,2.95%,Governor,373,,
Write-in,12,0.54%,Governor,373,,
Cast Votes: ,2239,96.18%,Governor,373,,
Over Votes: ,0,0.00%,Governor,373,,
Under Votes: ,89,3.82%,Governor,373,,
Chuck Thomsen,1075,50.78%,State Senate,373,26,
Robert R Bruce,1033,48.80%,State Senate,373,26,
Write-in,9,0.43%,State Senate,373,26,
Cast Votes: ,2117,90.94%,State Senate,373,26,
Over Votes: ,1,0.04%,State Senate,373,26,
Under Votes: ,210,9.02%,State Senate,373,26,
Stephanie Nystrom,1064,49.67%,State House,373,52,
Mark Johnson,1066,49.77%,State House,373,52,
Write-in,12,0.56%,State House,373,52,
Cast Votes: ,2142,92.01%,State House,373,52,
Over Votes:,0,0.00%,State House,373,52,
Under Votes: ,186,7.99%,State House,373,52,
Mike Montchalin,35,3.31%,U.S. Senate,400,,
Jeff Merkley,479,45.36%,U.S. Senate,400,,
Christina Jean Lugo,10,0.95%,U.S. Senate,400,,
James E Leuenberger,10,0.95%,U.S. Senate,400,,
Monica Wehby,514,48.67%,U.S. Senate,400,,
Write-in,8,0.76%,U.S. Senate,400,,
Cast Votes: ,1056,94.37%,U.S. Senate,400,,
Over Votes: ,0,0.00%,U.S. Senate,400,,
Under Votes: ,63,5.63%,U.S. Senate,400,,
Michael Meo,15,1.45%,U.S. House,400,3,
James Buchal,463,44.91%,U.S. House,400,3,
Earl Blumenauer,505,48.98%,U.S. House,400,3,
Jeffrey J Langan,27,2.62%,U.S. House,400,3,
David Walker,19,1.84%,U.S. House,400,3,
Write-in,2,0.19%,U.S. House,400,3,
Cast Votes: ,1031,92.14%,U.S. House,400,3,
Over Votes: ,0,0.00%,U.S. House,400,3,
Under Votes: ,88,7.86%,U.S. House,400,3,
Dennis Richardson,613,57.13%,Governor,400,,
Chris Henry,8,0.75%,Governor,400,,
Aaron Auer,6,0.56%,Governor,400,,
John  Kitzhaber,423,39.42%,Governor,400,,
Paul Grad,12,1.12%,Governor,400,,
Jason  Levin,11,1.03%,Governor,400,,
Write-in,0,0.00%,Governor,400,,
Cast Votes: ,1073,95.89%,Governor,400,,
Over Votes: ,0,0.00%,Governor,400,,
Under Votes: ,46,4.11%,Governor,400,,
Chuck Thomsen,619,62.40%,State Senate,400,26,
Robert R Bruce,366,36.90%,State Senate,400,26,
Write-in,7,0.71%,State Senate,400,26,
Cast Votes: ,992,88.65%,State Senate,400,26,
Over Votes: ,0,0.00%,State Senate,400,26,
Under Votes: ,127,11.35%,State Senate,400,26,
Jodi Bailey,557,54.61%,State House,400,51,
Shemia Fagan,455,44.61%,State House,400,51,
Write-in,8,0.78%,State House,400,51,
Cast Votes: ,1020,91.15%,State House,400,51,
Over Votes: ,1,0.09%,State House,400,51,
Under Votes: ,98,8.76%,State House,400,51,
Mike Montchalin,29,3.01%,U.S. Senate,401,,
Jeff Merkley,426,44.28%,U.S. Senate,401,,
Christina Jean Lugo,13,1.35%,U.S. Senate,401,,
James E Leuenberger,16,1.66%,U.S. Senate,401,,
Monica Wehby,471,48.96%,U.S. Senate,401,,
Write-in,7,0.73%,U.S. Senate,401,,
Cast Votes: ,962,94.41%,U.S. Senate,401,,
Over Votes: ,2,0.20%,U.S. Senate,401,,
Under Votes: ,55,5.40%,U.S. Senate,401,,
Michael Meo,11,1.18%,U.S. House,401,3,
James Buchal,448,48.07%,U.S. House,401,3,
Earl Blumenauer,445,47.75%,U.S. House,401,3,
Jeffrey J Langan,17,1.82%,U.S. House,401,3,
David Walker,8,0.86%,U.S. House,401,3,
Write-in,3,0.32%,U.S. House,401,3,
Cast Votes: ,932,91.46%,U.S. House,401,3,
Over Votes: ,0,0.00%,U.S. House,401,3,
Under Votes: ,87,8.54%,U.S. House,401,3,
Dennis Richardson,572,58.67%,Governor,401,,
Chris Henry,9,0.92%,Governor,401,,
Aaron Auer,11,1.13%,Governor,401,,
John  Kitzhaber,356,36.51%,Governor,401,,
Paul Grad,7,0.72%,Governor,401,,
Jason  Levin,14,1.44%,Governor,401,,
Write-in,6,0.62%,Governor,401,,
Cast Votes: ,975,95.68%,Governor,401,,
Over Votes: ,0,0.00%,Governor,401,,
Under Votes: ,44,4.32%,Governor,401,,
Alan R Olsen,538,57.48%,State Senate,401,20,
Jamie Damon,396,42.31%,State Senate,401,20,
Write-in,2,0.21%,State Senate,401,20,
Cast Votes: ,936,91.85%,State Senate,401,20,
Over Votes: ,0,0.00%,State Senate,401,20,
Under Votes: ,83,8.15%,State Senate,401,20,
Bill Kennemer ,653,97.61%,State House,401,39,
Write-in ,16,2.39%,State House,401,39,
Cast Votes: ,669,65.65%,State House,401,39,
Over Votes: ,0,0.00%,State House,401,39,
Under Votes: ,350,34.35%,State House,401,39,
Mike Montchalin,47,4.38%,U.S. Senate,402,,
Jeff Merkley,423,39.39%,U.S. Senate,402,,
Christina Jean Lugo,14,1.30%,U.S. Senate,402,,
James E Leuenberger,25,2.33%,U.S. Senate,402,,
Monica Wehby,555,51.68%,U.S. Senate,402,,
Write-in,10,0.93%,U.S. Senate,402,,
Cast Votes: ,1074,96.58%,U.S. Senate,402,,
Over Votes: ,0,0.00%,U.S. Senate,402,,
Under Votes: ,38,3.42%,U.S. Senate,402,,
Michael Meo,11,1.07%,U.S. House,402,3,
James Buchal,523,50.93%,U.S. House,402,3,
Earl Blumenauer,449,43.72%,U.S. House,402,3,
Jeffrey J Langan,25,2.43%,U.S. House,402,3,
David Walker,14,1.36%,U.S. House,402,3,
Write-in,5,0.49%,U.S. House,402,3,
Cast Votes: ,1027,92.36%,U.S. House,402,3,
Over Votes: ,0,0.00%,U.S. House,402,3,
Under Votes: ,85,7.64%,U.S. House,402,3,
Dennis Richardson,654,61.06%,Governor,402,,
Chris Henry,9,0.84%,Governor,402,,
Aaron Auer,12,1.12%,Governor,402,,
John  Kitzhaber,363,33.89%,Governor,402,,
Paul Grad,9,0.84%,Governor,402,,
Jason  Levin,15,1.40%,Governor,402,,
Write-in,9,0.84%,Governor,402,,
Cast Votes: ,1071,96.31%,Governor,402,,
Over Votes: ,0,0.00%,Governor,402,,
Under Votes: ,41,3.69%,Governor,402,,
Chuck Thomsen,686,68.12%,State Senate,402,26,
Robert R Bruce,317,31.48%,State Senate,402,26,
Write-in,4,0.40%,State Senate,402,26,
Cast Votes: ,1007,90.56%,State Senate,402,26,
Over Votes: ,0,0.00%,State Senate,402,26,
Under Votes: ,105,9.44%,State Senate,402,26,
Jodi Bailey,612,58.51%,State House,402,51,
Shemia Fagan,433,41.40%,State House,402,51,
Write-in,1,0.10%,State House,402,51,
Cast Votes: ,1046,94.06%,State House,402,51,
Over Votes: ,0,0.00%,State House,402,51,
Under Votes: ,66,5.94%,State House,402,51,
Mike Montchalin,32,3.49%,U.S. Senate,403,,
Jeff Merkley,386,42.14%,U.S. Senate,403,,
Christina Jean Lugo,17,1.86%,U.S. Senate,403,,
James E Leuenberger,20,2.18%,U.S. Senate,403,,
Monica Wehby,456,49.78%,U.S. Senate,403,,
Write-in,5,0.55%,U.S. Senate,403,,
Cast Votes: ,916,94.05%,U.S. Senate,403,,
Over Votes: ,0,0.00%,U.S. Senate,403,,
Under Votes: ,58,5.95%,U.S. Senate,403,,
Michael Meo,14,1.58%,U.S. House,403,3,
James Buchal,443,50.11%,U.S. House,403,3,
Earl Blumenauer,397,44.91%,U.S. House,403,3,
Jeffrey J Langan,17,1.92%,U.S. House,403,3,
David Walker,9,1.02%,U.S. House,403,3,
Write-in,4,0.45%,U.S. House,403,3,
Cast Votes: ,884,90.76%,U.S. House,403,3,
Over Votes: ,0,0.00%,U.S. House,403,3,
Under Votes: ,90,9.24%,U.S. House,403,3,
Dennis Richardson,560,60.41%,Governor,403,,
Chris Henry,5,0.54%,Governor,403,,
Aaron Auer,9,0.97%,Governor,403,,
John  Kitzhaber,317,34.20%,Governor,403,,
Paul Grad,13,1.40%,Governor,403,,
Jason  Levin,18,1.94%,Governor,403,,
Write-in,5,0.54%,Governor,403,,
Cast Votes: ,927,95.17%,Governor,403,,
Over Votes: ,0,0.00%,Governor,403,,
Under Votes: ,47,4.83%,Governor,403,,
Chuck Thomsen,580,67.92%,State Senate,403,26,
Robert R Bruce,271,31.73%,State Senate,403,26,
Write-in,3,0.35%,State Senate,403,26,
Cast Votes: ,854,87.68%,State Senate,403,26,
Over Votes: ,0,0.00%,State Senate,403,26,
Under Votes: ,120,12.32%,State Senate,403,26,
Jodi Bailey,523,59.16%,State House,403,51,
Shemia Fagan,356,40.27%,State House,403,51,
Write-in,5,0.57%,State House,403,51,
Cast Votes: ,884,90.76%,State House,403,51,
Over Votes: ,0,0.00%,State House,403,51,
Under Votes: ,90,9.24%,State House,403,51,
Mike Montchalin,57,3.28%,U.S. Senate,404,,
Jeff Merkley,725,41.71%,U.S. Senate,404,,
Christina Jean Lugo,19,1.09%,U.S. Senate,404,,
James E Leuenberger,40,2.30%,U.S. Senate,404,,
Monica Wehby,887,51.04%,U.S. Senate,404,,
Write-in,10,0.58%,U.S. Senate,404,,
Cast Votes: ,1738,95.23%,U.S. Senate,404,,
Over Votes: ,1,0.05%,U.S. Senate,404,,
Under Votes: ,86,4.71%,U.S. Senate,404,,
Michael Meo,27,1.59%,U.S. House,404,3,
James Buchal,872,51.42%,U.S. House,404,3,
Earl Blumenauer,736,43.40%,U.S. House,404,3,
Jeffrey J Langan,31,1.83%,U.S. House,404,3,
David Walker,25,1.47%,U.S. House,404,3,
Write-in,5,0.29%,U.S. House,404,3,
Cast Votes: ,1696,92.93%,U.S. House,404,3,
Over Votes: ,1,0.05%,U.S. House,404,3,
Under Votes: ,128,7.01%,U.S. House,404,3,
Dennis Richardson,1073,61.31%,Governor,404,,
Chris Henry,11,0.63%,Governor,404,,
Aaron Auer,22,1.26%,Governor,404,,
John  Kitzhaber,597,34.11%,Governor,404,,
Paul Grad,23,1.31%,Governor,404,,
Jason  Levin,13,0.74%,Governor,404,,
Write-in,11,0.63%,Governor,404,,
Cast Votes: ,1750,95.89%,Governor,404,,
Over Votes: ,1,0.05%,Governor,404,,
Under Votes: ,74,4.05%,Governor,404,,
Chuck Thomsen,1115,67.49%,State Senate,404,26,
Robert R Bruce,528,31.96%,State Senate,404,26,
Write-in,9,0.54%,State Senate,404,26,
Cast Votes: ,1652,90.52%,State Senate,404,26,
Over Votes: ,1,0.05%,State Senate,404,26,
Under Votes: ,172,9.42%,State Senate,404,26,
Stephanie Nystrom,573,34.71%,State House,404,52,
Mark Johnson,1073,64.99%,State House,404,52,
Write-in,5,0.30%,State House,404,52,
Cast Votes: ,1651,90.47%,State House,404,52,
Over Votes:,0,0.00%,State House,404,52,
Under Votes: ,174,9.53%,State House,404,52,
Mike Montchalin,24,3.18%,U.S. Senate,405,,
Jeff Merkley,286,37.93%,U.S. Senate,405,,
Christina Jean Lugo,14,1.86%,U.S. Senate,405,,
James E Leuenberger,26,3.45%,U.S. Senate,405,,
Monica Wehby,400,53.05%,U.S. Senate,405,,
Write-in,4,0.53%,U.S. Senate,405,,
Cast Votes: ,754,94.01%,U.S. Senate,405,,
Over Votes: ,0,0.00%,U.S. Senate,405,,
Under Votes: ,48,5.99%,U.S. Senate,405,,
Michael Meo,12,1.65%,U.S. House,405,3,
James Buchal,384,52.75%,U.S. House,405,3,
Earl Blumenauer,298,40.93%,U.S. House,405,3,
Jeffrey J Langan,17,2.34%,U.S. House,405,3,
David Walker,13,1.79%,U.S. House,405,3,
Write-in,4,0.55%,U.S. House,405,3,
Cast Votes: ,728,90.77%,U.S. House,405,3,
Over Votes: ,1,0.12%,U.S. House,405,3,
Under Votes: ,73,9.10%,U.S. House,405,3,
Dennis Richardson,476,62.30%,Governor,405,,
Chris Henry,4,0.52%,Governor,405,,
Aaron Auer,14,1.83%,Governor,405,,
John  Kitzhaber,246,32.20%,Governor,405,,
Paul Grad,10,1.31%,Governor,405,,
Jason  Levin,9,1.18%,Governor,405,,
Write-in,5,0.65%,Governor,405,,
Cast Votes: ,764,95.26%,Governor,405,,
Over Votes: ,0,0.00%,Governor,405,,
Under Votes: ,38,4.74%,Governor,405,,
Alan R Olsen,456,63.07%,State Senate,405,20,
Jamie Damon,264,36.51%,State Senate,405,20,
Write-in,3,0.41%,State Senate,405,20,
Cast Votes: ,723,90.15%,State Senate,405,20,
Over Votes: ,0,0.00%,State Senate,405,20,
Under Votes: ,79,9.85%,State Senate,405,20,
Bill Kennemer ,531,96.90%,State House,405,39,
Write-in ,17,3.10%,State House,405,39,
Cast Votes:,548,68.33%,State House,405,39,
Over Votes:,0,0.00%,State House,405,39,
Under Votes:,254,31.67%,State House,405,39,
Mike Montchalin,21,3.70%,U.S. Senate,406,,
Jeff Merkley,245,43.13%,U.S. Senate,406,,
Christina Jean Lugo,6,1.06%,U.S. Senate,406,,
James E Leuenberger,10,1.76%,U.S. Senate,406,,
Monica Wehby,285,50.18%,U.S. Senate,406,,
Write-in,1,0.18%,U.S. Senate,406,,
Cast Votes: ,568,95.95%,U.S. Senate,406,,
Over Votes: ,0,0.00%,U.S. Senate,406,,
Under Votes: ,24,4.05%,U.S. Senate,406,,
Michael Meo,11,2.04%,U.S. House,406,3,
James Buchal,270,50.09%,U.S. House,406,3,
Earl Blumenauer,231,42.86%,U.S. House,406,3,
Jeffrey J Langan,19,3.53%,U.S. House,406,3,
David Walker,6,1.11%,U.S. House,406,3,
Write-in,2,0.37%,U.S. House,406,3,
Cast Votes: ,539,91.05%,U.S. House,406,3,
Over Votes: ,0,0.00%,U.S. House,406,3,
Under Votes: ,53,8.95%,U.S. House,406,3,
Dennis Richardson,343,59.55%,Governor,406,,
Chris Henry,2,0.35%,Governor,406,,
Aaron Auer,11,1.91%,Governor,406,,
John  Kitzhaber,197,34.20%,Governor,406,,
Paul Grad,12,2.08%,Governor,406,,
Jason  Levin,7,1.22%,Governor,406,,
Write-in,4,0.69%,Governor,406,,
Cast Votes: ,576,97.30%,Governor,406,,
Over Votes: ,0,0.00%,Governor,406,,
Under Votes: ,16,2.70%,Governor,406,,
Alan R Olsen,335,61.69%,State Senate,406,20,
Jamie Damon,205,37.75%,State Senate,406,20,
Write-in,3,0.55%,State Senate,406,20,
Cast Votes: ,543,91.72%,State Senate,406,20,
Over Votes: ,1,0.17%,State Senate,406,20,
Under Votes: ,48,8.11%,State Senate,406,20,
Bill Kennemer ,415,96.74%,State House,406,39,
Write-in  ,14,3.26%,State House,406,39,
Cast Votes:,429,72.47%,State House,406,39,
Over Votes:,0,0.00%,State House,406,39,
Under Votes:,163,27.53%,State House,406,39,
Mike Montchalin,36,3.54%,U.S. Senate,410,,
Jeff Merkley,519,51.03%,U.S. Senate,410,,
Christina Jean Lugo,13,1.28%,U.S. Senate,410,,
James E Leuenberger,21,2.06%,U.S. Senate,410,,
Monica Wehby,423,41.59%,U.S. Senate,410,,
Write-in,5,0.49%,U.S. Senate,410,,
Cast Votes: ,1017,95.67%,U.S. Senate,410,,
Over Votes: ,0,0.00%,U.S. Senate,410,,
Under Votes: ,46,4.33%,U.S. Senate,410,,
Raymond Baldwin,27,2.76%,U.S. House,410,5,
Daniel K Souza,26,2.65%,U.S. House,410,5,
Kurt Schrader,518,52.86%,U.S. House,410,5,
Tootie Smith,381,38.88%,U.S. House,410,5,
Marvin Sannes,26,2.65%,U.S. House,410,5,
Write-in,2,0.20%,U.S. House,410,5,
Cast Votes: ,980,92.19%,U.S. House,410,5,
Over Votes: ,0,0.00%,U.S. House,410,5,
Under Votes: ,83,7.81%,U.S. House,410,5,
Dennis Richardson,487,48.27%,Governor,410,,
Chris Henry,8,0.79%,Governor,410,,
Aaron Auer,8,0.79%,Governor,410,,
John  Kitzhaber,473,46.88%,Governor,410,,
Paul Grad,17,1.68%,Governor,410,,
Jason  Levin,10,0.99%,Governor,410,,
Write-in,6,0.59%,Governor,410,,
Cast Votes: ,1009,94.92%,Governor,410,,
Over Votes: ,0,0.00%,Governor,410,,
Under Votes: ,54,5.08%,Governor,410,,
Rod Monroe ,627,93.86%,State Senate,410,24,
Write-in ,41,6.14%,State Senate,410,24,
Cast Votes: ,668,62.84%,State Senate,410,24,
Over Votes: ,0,0.00%,State Senate,410,24,
Under Votes: ,395,37.16%,State Senate,410,24,
Jeff Reardon,527,58.95%,State House,410,48,
Geo (Sonny) W Yellott,360,40.27%,State House,410,48,
Write-in,7,0.78%,State House,410,48,
Cast Votes:,894,84.10%,State House,410,48,
Over Votes: ,1,0.09%,State House,410,48,
Under Votes: ,168,15.80%,State House,410,48,
Mike Montchalin,54,2.83%,U.S. Senate,411,,
Jeff Merkley,994,52.01%,U.S. Senate,411,,
Christina Jean Lugo,22,1.15%,U.S. Senate,411,,
James E Leuenberger,32,1.67%,U.S. Senate,411,,
Monica Wehby,798,41.76%,U.S. Senate,411,,
Write-in,11,0.58%,U.S. Senate,411,,
Cast Votes: ,1911,94.98%,U.S. Senate,411,,
Over Votes: ,2,0.10%,U.S. Senate,411,,
Under Votes: ,99,4.92%,U.S. Senate,411,,
Raymond Baldwin,36,1.90%,U.S. House,411,5,
Daniel K Souza,32,1.69%,U.S. House,411,5,
Kurt Schrader,985,51.98%,U.S. House,411,5,
Tootie Smith,779,41.11%,U.S. House,411,5,
Marvin Sannes,58,3.06%,U.S. House,411,5,
Write-in,5,0.26%,U.S. House,411,5,
Cast Votes: ,1895,94.18%,U.S. House,411,5,
Over Votes: ,1,0.05%,U.S. House,411,5,
